params

tradedate;tradetime;B1;B2;B3;T1;G1;G2;G3;G4;G5;G6;G7;G8;G9
06.01.2014;12:21:16;877,951361;-311,324633;51,105265;4,836731;0,000000;0,000000;-0,235430;-0,602083;-0,725340;-0,341294;0,683989;0,000000;0,000000
08.01.2014;12:41:22;879,619947;-312,611788;51,560662;4,824178;-0,005661;-0,005661;-0,214698;-1,641290;-4,821431;0,328790;3,391207;0,000000;0,000000
09.01.2014;18:38:19;876,971884;-320,831620;56,936812;4,448947;0,065004;-3,996982;-4,358512;0,140076;0,524525;4,560520;1,350378;0,000000;0,000000
10.01.2014;18:38:17;875,118031;-329,716005;61,089853;4,148542;0,018092;-2,428168;-3,204718;0,605912;2,373884;3,420259;0,019879;0,000000;0,000000
13.01.2014;18:37:26;878,212981;-325,573772;60,784188;4,195013;2,689991;3,672235;-8,583068;-1,823289;-0,645657;1,413068;-0,751966;0,000000;0,000000
14.01.2014;18:39:09;879,694641;-329,433857;61,655909;4,180625;3,261415;2,438165;-8,095983;-2,430391;-0,435180;2,066430;-0,226502;0,000000;0,000000
15.01.2014;18:38:21;882,024947;-332,830533;62,500903;4,178730;3,227256;2,210246;-7,467214;-0,973772;-1,699921;3,698969;1,892005;0,000000;0,000000
16.01.2014;18:38:30;885,513694;-335,553400;63,594812;4,165703;1,662165;1,215542;-3,298155;-2,136625;-2,302579;2,701049;1,354361;0,000000;0,000000
17.01.2014;18:39:49;889,178375;-335,783111;63,380990;4,243703;3,074991;2,781652;-4,157051;-1,877683;-3,794766;2,140152;2,069993;0,000000;0,000000
20.01.2014;18:39:25;891,222144;-339,156580;64,541089;4,208316;4,615631;3,800201;-9,134583;-1,725649;-1,903023;1,654471;1,194487;0,000000;0,000000
21.01.2014;18:38:47;895,444082;-337,742274;63,128297;4,411592;8,622880;7,869765;-15,576306;1,028174;2,324199;0,941478;0,951160;0,000000;0,000000
22.01.2014;18:39:29;898,195791;-336,926749;62,697017;4,508254;5,851691;3,672295;-11,850059;-2,788134;1,796105;2,697669;0,551027;0,000000;0,000000
